Author,Message,Date,Channel ID,Channel
Mr Mee Seeks,@Biss what is ... ?,2021-05-23 22:36:42,UCcBcbEnmGr3b7jX75f4S9KQ,https://youtube.com/channel/UCcBcbEnmGr3b7jX75f4S9KQ
Author,Message,Date,Channel ID,Channel
Mr Mee Seeks,@Biss oh lol,2021-05-23 22:39:39,UCcBcbEnmGr3b7jX75f4S9KQ,https://youtube.com/channel/UCcBcbEnmGr3b7jX75f4S9KQ
Author,Message,Date,Channel ID,Channel
Sycamore,@Biss +$0.50,2021-05-23 22:41:15,UCQY9MsriTCLLsWzFdPK4w0g,https://youtube.com/channel/UCQY9MsriTCLLsWzFdPK4w0g
Author,Message,Date,Channel ID,Channel
Sycamore,@biss u satnk,2021-05-23 23:09:51,UCQY9MsriTCLLsWzFdPK4w0g,https://youtube.com/channel/UCQY9MsriTCLLsWzFdPK4w0g
Author,Message,Date,Channel ID,Channel
Sycamore,@biss balance,2021-05-23 23:11:19,UCQY9MsriTCLLsWzFdPK4w0g,https://youtube.com/channel/UCQY9MsriTCLLsWzFdPK4w0g
Author,Message,Date,Channel ID,Channel
Sycamore,@biss balance,2021-05-23 23:13:59,UCQY9MsriTCLLsWzFdPK4w0g,https://youtube.com/channel/UCQY9MsriTCLLsWzFdPK4w0g
Author,Message,Date,Channel ID,Channel
Will Tucker,#Biss yes,2021-05-23 23:18:59,UC-RQKfmxlAEVc1lQAHO0jyg,https://youtube.com/channel/UC-RQKfmxlAEVc1lQAHO0jyg
Author,Message,Date,Channel ID,Channel
Sarge,@biss balance,2021-05-23 23:22:45,UCPUtGqej5qHtmpCJZbqd6OA,https://youtube.com/channel/UCPUtGqej5qHtmpCJZbqd6OA
Author,Message,Date,Channel ID,Channel
Sarge,@biss balance,2021-05-23 23:25:54,UCPUtGqej5qHtmpCJZbqd6OA,https://youtube.com/channel/UCPUtGqej5qHtmpCJZbqd6OA
Author,Message,Date,Channel ID,Channel
Sarge,@biss balance,2021-05-23 23:26:56,UCPUtGqej5qHtmpCJZbqd6OA,https://youtube.com/channel/UCPUtGqej5qHtmpCJZbqd6OA
Author,Message,Date,Channel ID,Channel
Sarge,@Biss balance,2021-05-23 23:38:35,UCPUtGqej5qHtmpCJZbqd6OA,https://youtube.com/channel/UCPUtGqej5qHtmpCJZbqd6OA
Author,Message,Date,Channel ID,Channel
Sycamore,@biss balance,2021-05-23 23:44:03,UCQY9MsriTCLLsWzFdPK4w0g,https://youtube.com/channel/UCQY9MsriTCLLsWzFdPK4w0g
Author,Message,Date,Channel ID,Channel
Sarge,@biss balance,2021-05-23 23:44:32,UCPUtGqej5qHtmpCJZbqd6OA,https://youtube.com/channel/UCPUtGqej5qHtmpCJZbqd6OA
Author,Message,Date,Channel ID,Channel
Sarge,@biss sundar,2021-05-24 00:54:37,UCPUtGqej5qHtmpCJZbqd6OA,https://youtube.com/channel/UCPUtGqej5qHtmpCJZbqd6OA
Author,Message,Date,Channel ID,Channel
Sarge,@biss sundar,2021-05-24 00:56:03,UCPUtGqej5qHtmpCJZbqd6OA,https://youtube.com/channel/UCPUtGqej5qHtmpCJZbqd6OA
Author,Message,Date,Channel ID,Channel
Sarge,@Biss sundar,2021-05-24 01:12:49,UCPUtGqej5qHtmpCJZbqd6OA,https://youtube.com/channel/UCPUtGqej5qHtmpCJZbqd6OA
Author,Message,Date,Channel ID,Channel
Sarge,@biss orange,2021-05-24 01:19:17,UCPUtGqej5qHtmpCJZbqd6OA,https://youtube.com/channel/UCPUtGqej5qHtmpCJZbqd6OA
Author,Message,Date,Channel ID,Channel
Sarge,@biss sundar,2021-05-24 01:22:11,UCPUtGqej5qHtmpCJZbqd6OA,https://youtube.com/channel/UCPUtGqej5qHtmpCJZbqd6OA
Author,Message,Date,Channel ID,Channel
Sarge,@Biss sundar,2021-05-24 01:25:10,UCPUtGqej5qHtmpCJZbqd6OA,https://youtube.com/channel/UCPUtGqej5qHtmpCJZbqd6OA
Author,Message,Date,Channel ID,Channel
Sarge,@Biss sundar,2021-05-24 01:28:28,UCPUtGqej5qHtmpCJZbqd6OA,https://youtube.com/channel/UCPUtGqej5qHtmpCJZbqd6OA
Author,Message,Date,Channel ID,Channel
Sarge,@Biss monero,2021-05-24 01:31:18,UCPUtGqej5qHtmpCJZbqd6OA,https://youtube.com/channel/UCPUtGqej5qHtmpCJZbqd6OA
Author,Message,Date,Channel ID,Channel
Sycamore,@Will Tucker tag biss and say orange,2021-05-24 01:41:25,UCQY9MsriTCLLsWzFdPK4w0g,https://youtube.com/channel/UCQY9MsriTCLLsWzFdPK4w0g
Author,Message,Date,Channel ID,Channel
Sycamore,@biss orange,2021-05-24 01:42:46,UCQY9MsriTCLLsWzFdPK4w0g,https://youtube.com/channel/UCQY9MsriTCLLsWzFdPK4w0g
Author,Message,Date,Channel ID,Channel
Sarge,@Biss sundar,2021-05-24 01:46:30,UCPUtGqej5qHtmpCJZbqd6OA,https://youtube.com/channel/UCPUtGqej5qHtmpCJZbqd6OA
Author,Message,Date,Channel ID,Channel
All my dreams turn to reality Ceo,google can answer you biss.,2021-05-24 01:47:21,UCt2s9UoWVxtZ1stwFsNTSNg,https://youtube.com/channel/UCt2s9UoWVxtZ1stwFsNTSNg
Author,Message,Date,Channel ID,Channel
Sarge,@Biss orange,2021-05-24 01:56:22,UCPUtGqej5qHtmpCJZbqd6OA,https://youtube.com/channel/UCPUtGqej5qHtmpCJZbqd6OA
Author,Message,Date,Channel ID,Channel
Sharlene,@Biss bitcoin?,2021-05-24 01:57:13,UCQJGR0vWzXU8keaXUfmnaWQ,https://youtube.com/channel/UCQJGR0vWzXU8keaXUfmnaWQ
Author,Message,Date,Channel ID,Channel
Sharlene,@Biss how much is one share of monero?,2021-05-24 01:59:52,UCQJGR0vWzXU8keaXUfmnaWQ,https://youtube.com/channel/UCQJGR0vWzXU8keaXUfmnaWQ
Author,Message,Date,Channel ID,Channel
Sharlene,"@Biss oh dang, its not a useless coin tho right",2021-05-24 02:02:38,UCQJGR0vWzXU8keaXUfmnaWQ,https://youtube.com/channel/UCQJGR0vWzXU8keaXUfmnaWQ
Author,Message,Date,Channel ID,Channel
Sharlene,@bisss,2021-05-24 02:05:26,UCQJGR0vWzXU8keaXUfmnaWQ,https://youtube.com/channel/UCQJGR0vWzXU8keaXUfmnaWQ
Author,Message,Date,Channel ID,Channel
Sharlene,@Biss bruh,2021-05-24 02:05:51,UCQJGR0vWzXU8keaXUfmnaWQ,https://youtube.com/channel/UCQJGR0vWzXU8keaXUfmnaWQ
Author,Message,Date,Channel ID,Channel
Sharlene,@Biss bruh 700mil+ trading volume woAhh,2021-05-24 02:08:49,UCQJGR0vWzXU8keaXUfmnaWQ,https://youtube.com/channel/UCQJGR0vWzXU8keaXUfmnaWQ
Author,Message,Date,Channel ID,Channel
Sharlene,@Biss yes ive heard the same from many mouths ,2021-05-24 02:15:18,UCQJGR0vWzXU8keaXUfmnaWQ,https://youtube.com/channel/UCQJGR0vWzXU8keaXUfmnaWQ
Author,Message,Date,Channel ID,Channel
Sharlene,@Biss like 2004 or sum,2021-05-24 02:22:49,UCQJGR0vWzXU8keaXUfmnaWQ,https://youtube.com/channel/UCQJGR0vWzXU8keaXUfmnaWQ
Author,Message,Date,Channel ID,Channel
Person,@Biss 2008,2021-05-24 02:23:21,UCn8GKeCvvqYy51DEjsteN3Q,https://youtube.com/channel/UCn8GKeCvvqYy51DEjsteN3Q
Author,Message,Date,Channel ID,Channel
Sycamore,@Sharlene tag biss and say 2005,2021-05-24 02:23:37,UCQY9MsriTCLLsWzFdPK4w0g,https://youtube.com/channel/UCQY9MsriTCLLsWzFdPK4w0g
